"","IDnum","ageOfTheHouseholdHead","householdSize","farmSize","shareOfHiredLabour","commercializationIndex","totalLaborManDays","farmType","creditaccess","cropChoice","perCapitaIncome","percentNonfarmIncome","wardCode","intensificationStrategies","topgraphicWetnessIndex","distanceToBigMarket","maizePrice","RicePrice"
"1",996,40,5,1.3152295,79.166664,66.666664,255.46872,"Subsistence","No","RiceAndMaize",36415.336,0,91,"None",15.495391,1.2724752,805.68878,1403.9215
"2",983,70,4,2.5292876,0.68965518,22.200199,229.31358,"Subsistence","No","Rice",202660.13,0,11,"None",18.700499,7.1601477,0,1247.595
"3",826,28,4,2.3269446,81.25,75.471695,371.30234,"Subsistence","No","RiceAndMaize",795311.5,18.326572,131,"ApplyImprovedSeed",25.995266,63.910694,888.88892,1138.0952
"4",821,36,6,1.618744,36.363636,41.176472,156.29402,"Subsistence","Yes","RiceAndMaize",306769.25,34.384712,121,"CropMultipleTimes",25.30212,41.442589,660,1232.2581
"5",1044,30,4,0.50585753,1.5384616,0,128.49467,"Subsistence","No","Rice",35833.332,0,83,"ApplyImprovedSeed",15.142417,3.3801527,0,1466.6666
"6",937,56,6,0.60702902,25,66.666664,197.68413,"Subsistence","No","Rice",26185.717,0,23,"None",18.110115,19.419584,0,1138.2858
"7",758,38,4,1.0117151,52.189781,50,270.82724,"Subsistence","No","Rice",74681.438,0,101,"None",25.413345,18.50839,0,1144.301
"8",1038,70,6,2.0234301,0.29239765,49.625019,169.01993,"Subsistence","No","Rice",126840.84,0,83,"None",19.124847,3.1331069,1111.1111,1466.6666
"9",1048,55,1,0.50585753,0,0,672.12604,"Diversifier","No","VegitAndRice",NA,13.5959,83,"CropMultipleTimes",25.176956,3.8713896,1111.1111,1466.6666
"10",820,47,5,1.821087,55.353077,57.142857,401.77466,"Subsistence","No","Rice",385735.5,5.8229632,121,"None",16.587296,40.737221,0,1232.2581
"11",973,80,3,3.642174,0.2096436,0,130.96573,"Diversifier","No","Rice",219087.27,33.275017,11,"None",18.798313,7.0058403,0,1247.595
"12",917,65,3,3.035145,2.8248587,89.400925,174.95045,"Diversifier","No","RiceAndMaize",1399309.5,0,23,"UseIrrigation",27.403379,23.588245,611.11108,1138.2858
"13",984,37,6,1.9222585,81.993568,48.3559,161.78885,"Subsistence","No","Rice",113612.23,0,11,"None",26.850933,6.3144779,0,1247.595
"14",752,49,4,2.1246016,33.333332,37.497826,146.85106,"Subsistence","Yes","Rice",595077.19,32.27763,101,"None",25.413345,18.50839,414.28571,1144.301
"15",970,58,6,4.2492032,25.324675,73.584908,144.96835,"Subsistence","Yes","VegitAndRice",1277598,0,11,"UseIrrigationAndFertilizerApplication",26.230106,10.771505,0,1247.595
"16",870,36,5,2.9339736,37.931034,75,79.073654,"Subsistence","No","Rice",157428.59,0,241,"None",23.567518,49.570732,0,1104.762
"17",982,47,4,2.0234301,43.596729,59.269794,181.37518,"Diversifier","No","VegitAndRice",508837.78,35.994942,11,"ApplyImprovedSeed",26.838354,6.3144779,0,1247.595
"18",784,62,3,10.11715,87.921844,11.049724,55.648083,"Subsistence","Yes","RiceAndMaize",670809.56,0,101,"ApplyImprovedSeed",17.503759,34.862686,1000,1040.9524
"19",1022,36,7,0.60702902,50.2994,59.760956,275.11041,"Subsistence","No","Rice",105098.79,0,11,"UseIrrigation",26.420149,12.474558,0,1247.595
"20",757,55,5,2.9339736,59.299191,56.410255,379.34903,"Diversifier","No","RiceAndMaize",921355.19,0,101,"ApplyImprovedSeed",17.110718,18.963991,414.28571,1144.301
"21",837,43,11,2.0234301,35,28.53067,296.52618,"Diversifier","No","RiceAndMaize",145443.83,0,131,"None",19.29722,62.510551,888.88892,1138.0952
"22",947,40,5,0.68796623,70.481926,100,482.58182,"Subsistence","Yes","Rice",163142.86,45.053329,23,"None",24.307262,20.020014,0,1138.2858
"23",824,65,5,0.80937201,19.23077,58.823528,449.73138,"Diversifier","No","RiceAndMaize",300100,0,131,"CropMultipleTimes",17.104828,63.122982,888.88892,1138.0952
"24",830,37,6,1.9222585,92.307693,30,108.20605,"Subsistence","Yes","Rice",144095.23,18.983049,131,"None",18.112173,63.413219,0,1138.0952
"25",913,43,6,0.60702902,17.006804,46.067413,242.16306,"Subsistence","Yes","Rice",323555.97,0,23,"ApplyImprovedSeed",27.403379,23.487856,0,1138.2858
"26",802,55,7,4.0468602,4.2007003,46.666668,211.76912,"Subsistence","Yes","Rice",158041.48,0,121,"None",23.567518,40.007282,0,1232.2581
"27",804,46,7,2.7316306,80.645164,50.813007,158.87947,"Subsistence","No","Rice",381299.56,4.0379601,121,"None",25.241495,40.41098,0,1232.2581
"28",844,39,5,2.0234301,60,46.544182,126.02363,"Subsistence","No","RiceAndMaize",417948.25,6.9814334,61,"None",18.739361,22.77095,861.11108,1167.816
"29",954,38,6,2.5292876,72.459015,57.290611,120.58732,"Subsistence","Yes","Rice",601200.44,0,11,"UseIrrigationAndFertilizerApplication",20.101101,12.77951,0,1247.595
"30",829,60,5,2.4281161,92.059837,29.873417,715.78125,"Subsistence","No","VegitAndRice",176071.42,0,131,"UseIrrigationAndFertilizerApplication",16.751854,63.664227,0,1138.0952
