"","IDnum","ageOfTheHouseholdHead","householdSize","farmSize","shareOfHiredLabour","commercializationIndex","totalLaborManDays","farmType","creditaccess","cropChoice","perCapitaIncome","percentNonfarmIncome","wardCode","intensificationStrategies","topgraphicWetnessIndex","distanceToBigMarket","maizePrice","RicePrice"
"154",928,26,3,1.062,0.55248618,52.680721,681.73254,"Diversifier","No","RiceMaizeAndVegit",202299.48,0,83,"UseIrrigationAndFertilizerApplication",16.24103,5.7481875,805.68878,1312.6154
"155",774,27,4,1.214,0,62.661106,197.69357,"Diversifier","No","RiceAndMaize",275408,52.009651,101,"None",30.66617,14.554761,414.28571,1144.301
"156",807,28,3,2.2257731,8.0402012,46.544102,89.407135,"Subsistence","No","RiceAndMaize",339793.09,8.9096441,121,"CropMultipleTimes",23.8552,40.002346,660,1232.2581
"157",781,38,6,7.284348,4.2042041,26.775957,91.428909,"Diversifier","No","RiceAndMaize",398690.5,0,101,"None",21.478582,33.874649,1000,1040.9524
"158",974,50,8,2.4281161,21.22016,71.428574,155.2644,"Subsistence","No","Rice",153871.84,31.414028,11,"None",18.686893,7.0805554,0,1247.595
"159",862,36,5,1.821087,61.855671,54.253658,106.52978,"Subsistence","No","RiceAndMaize",21580.371,0,61,"None",14.449434,14.445888,861.11108,1167.816
"160",897,29,3,1.214058,33.870968,44.117645,51.068398,"Subsistence","No","Rice",662666.69,0,23,"None",21.315128,32.141811,0,1860
"161",939,28,3,0.50585753,39.200001,30.76923,247.10515,"Subsistence","Yes","Rice",110304.77,0,23,"ApplyFertilizer",18.654842,18.720961,0,1138.2858
"162",832,31,3,1.5175725,63.366337,68.181816,66.553658,"Subsistence","Yes","Rice",295857.16,0,131,"None",17.382338,63.023586,888.88892,1138.0952
"163",1037,37,3,1.618744,2.749141,56.724178,179.769,"Diversifier","No","RiceAndMaize",186658.42,0,83,"None",19.073584,2.716146,1111.1111,1466.6666
"164",882,52,11,21.448359,66.786354,40,51.938705,"AgroPastoralist","No","RiceAndMaize",5755963.5,24.994587,241,"None",18.515762,42.113094,805.68878,946.66669
"165",875,50,4,8.9030924,0.47114253,57.142857,95.360123,"AgroPastoralist","No","RiceAndMaize",905000.13,0,241,"None",28.993935,48.845688,777.77777,1104.762
"166",817,37,4,1.3152295,58.823528,80,413.61603,"Subsistence","Yes","Rice",236322.59,0,121,"None",28.277048,42.021194,0,1232.2581
"167",934,49,5,0.80937201,0.12903225,73.719254,957.53247,"Subsistence","Yes","Rice",159713.05,0,83,"ApplyFertilizer",16.933517,3.5324085,0,1312.6154
"168",919,42,3,0.9105435,70.329674,26.041668,99.940308,"Subsistence","No","Rice",149533.33,0,23,"UseIrrigation",17.229992,23.494534,0,1138.2858
"169",988,56,5,1.618744,0.078926601,17.029972,782.70557,"Subsistence","No","Rice",224484.8,0,11,"None",18.825342,7.1197524,0,1247.595
"170",890,46,5,1.3152295,2.4539878,75,247.86548,"Subsistence","No","Rice",266320,0,23,"None",18.950504,33.099644,0,1860
"171",907,41,4,0.60702902,0,35.714287,929.11536,"Subsistence","No","Rice",432800,31.905195,23,"None",27.403379,23.588245,0,1138.2858
"172",787,37,6,0.9105435,1.8348624,75,359.12616,"Subsistence","Yes","Rice",74095.242,0,101,"None",22.468906,32.483341,0,1040.9524
"173",910,40,3,0.80937201,58.131489,39.644283,357.06696,"Subsistence","No","VegitAndRice",731029.44,20.479792,23,"None",30.372133,23.381191,0,1138.2858
"174",985,41,5,1.7199155,90.410957,20.873714,169.77579,"Subsistence","Yes","Rice",307358.34,0,11,"None",18.6731,6.9376163,0,1247.595
"175",931,38,1,0.48562321,3.6697247,60,224.45386,"Subsistence","No","RiceAndMaize",556375.75,29.469227,83,"ApplyFertilizer",17.626665,5.7911606,676.88849,1312.6154
"176",869,61,6,2.1246016,36.363636,32.64418,62.129295,"Subsistence","No","Rice",801666.06,0,241,"None",16.699018,49.398434,777.77777,1104.762
"177",903,49,6,4.0468602,74.611397,61.363636,47.691296,"Subsistence","No","Rice",234500,29.481133,23,"None",18.618727,32.666481,0,1860
"178",948,51,6,1.0117151,2.0270271,61.016949,438.85873,"Subsistence","Yes","Rice",33138.098,0,23,"None",18.110004,19.924753,0,1138.2858
"179",976,40,5,0.9105435,0,26.740948,434.90509,"Diversifier","No","RiceMaizeAndVegit",410954.06,0,11,"UseIrrigationAndFertilizerApplication",19.837683,6.841404,944.44446,1247.595
"180",891,29,4,1.3152295,1.591512,66.666664,573.28394,"Subsistence","Yes","Rice",167450,0,23,"None",19.217382,32.679646,0,1860
"181",856,31,3,2.6300001,78.350517,85.555557,36.882126,"Diversifier","No","VegitAndRice",647067.5,0,61,"ApplyImprovedSeed",17.221857,14.517167,0,1167.816
"182",1050,53,4,1.3152295,27.777779,68.372093,164.22989,"Subsistence","No","Rice",283500,0,83,"None",18.118771,2.4845872,0,1466.6666
"183",1051,41,5,1.0117151,21.89781,52.100842,135.41362,"Diversifier","Yes","RiceMaizeAndVegit",431314.28,31.283916,83,"CropMultipleTimes",24.771492,3.214417,1111.1111,1466.6666
"184",884,36,11,9.7124643,57.798164,21.621622,101.00423,"AgroPastoralist","No","RiceAndMaize",1027857.2,0,241,"None",18.593428,41.708519,777.77777,1104.762
"185",815,51,6,0.80937201,0.10405827,76.582275,1187.3403,"Subsistence","No","VegitAndRice",130559.13,0,121,"UseIrrigationAndFertilizerApplication",23.567518,40.460033,0,1232.2581
"186",865,46,8,14.669868,0.56657225,49.961567,48.125862,"AgroPastoralist","No","RiceAndMaize",470379.28,0,61,"None",15.998521,15.026527,861.11108,1167.816
"187",1035,35,4,1.3152295,32.432434,78.688522,140.65985,"Diversifier","Yes","RiceAndMaize",23637.527,0,83,"None",16.240372,3.1588414,1111.1111,1466.6666
"188",915,68,4,1.416401,6.9868994,45.085663,323.35474,"Subsistence","No","Rice",269875,0,23,"UseIrrigation",17.147486,23.30098,0,1860
"189",946,30,4,0.70820051,73.333336,100,338.88708,"Diversifier","No","Vegitables",141500,0,23,"UseIrrigationAndFertilizerApplication",16.594004,19.81806,0,0
"190",952,51,6,5.9691186,83.728813,61.211342,49.421032,"Subsistence","Yes","Rice",1521394.6,0,11,"UseIrrigation",19.891029,14.589832,0,1247.595
"191",900,55,6,4.1480317,1.8518518,25,156.21867,"Subsistence","Yes","Rice",98446.398,0,23,"None",18.770533,32.730236,805.68878,1860
"192",819,57,6,3.439831,10.693302,13.379047,494.79175,"Subsistence","Yes","RiceAndMaize",922661.81,0,121,"CropMultipleTimes",28.908257,42.26936,660,1232.2581
"193",920,52,7,0.80937201,82.885902,52.573185,368.18668,"Subsistence","No","Rice",117668.12,12.380516,83,"ApplyFertilizer",25.033855,4.3918834,0,1312.6154
"194",959,63,10,0.80937201,45.714287,31.578947,172.97362,"Subsistence","No","Rice",180153.17,0,11,"ApplyImprovedSeed",19.01296,14.486462,0,1247.595
"195",1043,73,5,0.30351451,0.3508772,0,938.99957,"Subsistence","No","Rice",39400,0,83,"None",19.184811,3.01794,1111.1111,1466.6666
"196",858,35,3,1.618744,15.544043,12.698413,79.485489,"Diversifier","No","RiceAndMaize",440672.41,0,61,"None",15.32487,14.670762,861.11108,1167.816
"197",1024,43,7,1.7199155,22.580645,81.818184,270.36212,"Subsistence","No","Rice",186612.47,0,11,"ApplyImprovedSeed",17.30777,12.635365,0,1247.595
"198",966,42,5,2.2257731,91.666664,46.845722,75.479393,"Subsistence","No","Rice",161081.03,0,11,"UseIrrigation",26.887747,15.701346,0,1247.595
"199",874,46,11,7.689034,0,0,43.340946,"AgroPastoralist","No","RiceAndMaize",105558.45,0,241,"None",18.437595,49.455452,777.77777,1104.762
"200",756,48,4,1.9222585,0.13351135,68.592438,389.64581,"Diversifier","No","RiceAndMaize",323020.72,0,101,"ApplyImprovedSeed",25.464638,17.982578,414.28571,1144.301
"201",979,37,6,1.0117151,52.380951,66.817497,332.10931,"Subsistence","Yes","Rice",29513.148,0,11,"None",20.640974,6.319284,0,1247.595
"202",1010,48,6,4.6538892,99.10714,56.798817,336.92252,"Subsistence","No","Rice",909907.25,4.3206229,11,"None",25.965414,10.693714,0,1247.595
"203",795,39,3,1.3152295,83.660133,46.980209,116.32951,"Subsistence","Yes","Rice",514655.91,0,121,"ApplyImprovedSeed",16.905748,40.092308,0,1232.2581
"204",1025,36,3,1.1128865,45,47.477745,107.82771,"Subsistence","Yes","RiceAndMaize",197963.3,0,11,"None",20.085154,14.728935,944.44446,1247.595
"205",971,49,10,1.0117151,0.17699115,0,558.45764,"Subsistence","No","Rice",88084.336,0,11,"None",27.132345,7.1431665,0,1247.595
"206",1019,26,3,1.0117151,17.105263,92.617447,751.19965,"Subsistence","Yes","Rice",335971.34,0,11,"ApplyFertilizer",18.750153,12.172359,0,1247.595
"207",1016,55,4,2.0234301,19.68504,83.333336,125.52942,"Subsistence","No","Rice",259626.8,30.895832,11,"ApplyImprovedSeed",26.596041,11.469936,0,1247.595
"208",1009,73,5,0.60702902,50.704224,54.380295,467.85242,"Subsistence","Yes","VegitAndRice",77291.641,0,91,"None",16.188538,4.4171572,805.68878,1403.9215
"209",813,44,6,1.416401,19.81982,58.333332,235.10291,"Subsistence","No","Rice",314144.09,0,121,"ApplyImprovedSeed",16.53504,39.586689,0,1232.2581
"210",846,45,9,5.0585752,1.268797,70.571632,280.44788,"Diversifier","Yes","RiceAndMaize",46446.355,0,61,"CropMultipleTimes",18.245523,17.551397,861.11108,1167.816
