"","IDnum","ageOfTheHouseholdHead","householdSize","farmSize","shareOfHiredLabour","commercializationIndex","totalLaborManDays","farmType","creditaccess","cropChoice","perCapitaIncome","percentNonfarmIncome","wardCode","intensificationStrategies","topgraphicWetnessIndex","distanceToBigMarket","maizePrice","RicePrice"
"1",789,36,3,0.404686,85.271317,36.745888,956.297,"Subsistence","Yes","RiceAndMaize",679261.94,0,101,"ApplyFertilizer",26.206575,29.17342,780.53406,1040.9524
"2",823,78,4,1.416401,88.442207,54.744526,140.49693,"Subsistence","No","RiceAndMaize",473196.44,79.128334,131,"None",16.934175,63.374664,888.88892,1138.0952
"3",933,36,5,1.618744,0.16051364,62.355778,384.8663,"Subsistence","Yes","Rice",505814.84,33.516129,83,"None",26.400732,3.979665,805.68878,1312.6154
"4",1039,73,7,5.6656041,30.249111,4.9180326,49.597534,"Diversifier","No","RiceMaizeAndVegit",116142.86,0,83,"ApplyImprovedSeed",16.453764,4.3303905,1111.1111,1466.6666
"5",995,57,4,1.416401,74.285713,43.029259,197.68413,"Subsistence","Yes","RiceAndMaize",626304.06,0,91,"None",25.764744,1.9764371,805.68878,1403.9215
"6",943,26,3,5.0585752,100,77.888443,50.014084,"Subsistence","No","VegitAndRice",569361.94,0,23,"UseIrrigationAndFertilizerApplication",17.156662,18.610903,0,1138.2858
"7",839,38,5,4.4515462,79.657143,54.328777,196.56091,"Subsistence","Yes","Rice",1356565.4,0,61,"CropMultipleTimes",18.157978,24.519924,861.11108,1167.816
"8",827,31,2,0.9105435,0.95238096,48.317307,345.94724,"Diversifier","No","RiceAndMaize",887328.56,16.316256,131,"ApplyImprovedSeed",19.073584,60.424824,888.88892,1138.0952
"9",762,47,4,0.9105435,87.75,84.685196,439.29807,"Diversifier","No","RiceMaizeAndVegit",896967.75,2.588078,101,"UseIrrigationAndFertilizerApplication",25.464638,18.011818,785.34033,1144.301
"10",1000,30,3,0.50585753,11.392406,50,937.02271,"Subsistence","No","Rice",86058.813,0,91,"None",23.921051,2.01196,0,1403.9215
"11",978,62,4,2.3269446,54.077251,47.784534,200.2626,"Subsistence","Yes","Rice",341237.16,0,11,"None",18.864561,6.3623762,0,1247.595
"12",986,30,4,2.4281161,2.4390244,76.92308,202.62622,"Subsistence","No","Rice",272851.28,0,11,"None",18.838587,6.8028355,0,1247.595
"13",783,37,2,0.70820051,70.09346,64.008781,453.26147,"Subsistence","Yes","Rice",237837.02,0,101,"ApplyImprovedSeed",18.439484,28.176243,0,1040.9524
"14",801,44,8,1.0117151,57.915058,28.571428,256.00095,"Subsistence","No","Rice",48991.938,0,121,"None",25.107964,40.536125,0,1232.2581
"15",751,59,4,1.214058,27.450981,35.425777,252.04726,"Diversifier","No","RiceMaizeAndVegit",291937.88,7.3112698,101,"CropMultipleTimes",25.359278,18.341143,414.28571,1144.301
"16",883,31,7,0.404686,100,41.13924,963.71014,"Subsistence","No","RiceAndMaize",211040.86,0,241,"None",23.567518,44.939392,777.77777,1104.762
"17",949,34,3,0.60702902,63.529411,57.142857,560.10504,"Subsistence","No","Rice",64274.074,0,23,"None",18.245523,19.82189,0,1138.2858
"18",958,47,3,2.0234301,78.39196,73.134331,196.69569,"Diversifier","Yes","RiceAndMaize",267352.94,0,11,"ApplyImprovedSeed",18.864561,14.654543,944.44446,1247.595
"19",1001,39,3,1.1128865,54.782608,0,413.33954,"Subsistence","No","Rice",13921.563,0,91,"None",25.764744,2.0714397,0,1403.9215
"20",786,42,7,2.8328021,0,4.5225482,186.38789,"Diversifier","Yes","RiceAndMaize",267653.06,21.245928,101,"None",17.514021,28.975018,1000,1040.9524
"21",1013,43,6,12.342923,20.149254,0,21.712847,"AgroPastoralist","Yes","Rice",241207.48,0,11,"ApplyImprovedSeed",28.537331,11.972853,0,1247.595
"22",888,70,11,6.7784905,6.4516129,0,128.05211,"AgroPastoralist","No","Rice",396948.09,0,241,"None",18.180967,41.586414,0,1104.762
"23",794,41,3,2.1246016,82.758621,66.666664,204.74426,"Subsistence","No","RiceAndMaize",722360.25,0,121,"ApplyImprovedSeed",24.953814,40.267483,660,1232.2581
"24",792,50,4,6.1714616,35.062241,53.547523,156.20287,"Diversifier","No","RiceMaizeAndVegit",718734.31,0,101,"ApplyFertilizer",21.957325,29.776499,1000,1040.9524
"25",924,45,8,1.618744,64.596275,69.78022,99.459824,"Diversifier","No","RiceAndMaize",454446.94,76.046623,83,"None",17.493134,3.7384036,805.68878,1312.6154
"26",854,51,4,1.618744,1.3605442,11.940299,181.6223,"Diversifier","Yes","RiceAndMaize",108895.25,0,61,"ApplyImprovedSeed",26.494257,19.674561,861.11108,1167.816
"27",828,74,2,2.1246016,60.493828,64.451828,152.49918,"Diversifier","No","RiceMaizeAndVegit",492778.56,0,131,"ApplyImprovedSeed",17.210167,62.3521,888.88892,1138.0952
"28",964,65,4,3.237488,99,75.583336,463.32217,"Subsistence","Yes","RiceMaizeAndVegit",1225082.4,12.591193,11,"ApplyImprovedSeed",18.838587,14.72172,944.44446,1247.595
"29",1052,54,5,1.0117151,76.84729,66.754387,200.64938,"Subsistence","No","Rice",110733.34,0,83,"None",17.280441,2.391187,0,1466.6666
"30",990,66,5,2.6304591,0.89585668,66.666664,678.96893,"Subsistence","No","Rice",150338.3,0,11,"None",18.825342,6.6493683,0,1247.595
