IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,ricePrice
900,55,6,4.1480317,1.8518518,25,156.21867,Subsistence,Yes,Rice,Yes,98.446398,0,23,None,18.770533,32.730236,805.68878,1860
901,49,3,2.2257731,1.1904762,0,150.95879,Subsistence,No,Rice,Yes,16.8,0,23,None,26.850933,32.455135,0,1860
902,48,6,3.3386595,78.571426,52.63158,670.92798,Subsistence,No,Rice,Yes,635.86638,0,23,ApplyImprovedSeed,18.938669,35.014027,0,1860
903,49,6,4.0468602,74.611397,61.363636,47.691296,Subsistence,No,Rice,Yes,234.5,29.481133,23,None,18.618727,32.666481,0,1860
904,46,7,2.4281161,0.42462844,47.95137,193.97754,Subsistence,No,Rice,Yes,613.50569,0,23,None,19.040453,33.248669,0,1860
905,47,5,4.3503747,73.426575,38.230087,65.741463,Subsistence,No,RiceAndMaize,Yes,451.60284,38.403408,23,ApplyFertilizer,17.633652,23.394173,611.11108,1138.2858
906,51,4,1.821087,3.5190616,13.993175,374.50159,Subsistence,No,RiceAndMaize,Yes,317.29416,0,23,None,24.78945,23.570866,611.11108,1138.2858
907,41,4,0.60702902,0,35.714287,929.11536,Subsistence,No,Rice,No,432.8,31.905195,23,None,27.403379,23.588245,0,1138.2858
908,61,3,1.214058,6.5573769,48.3559,251.22357,Subsistence,No,Rice,Yes,238.97052,0,23,ApplyImprovedSeed,17.633652,23.494534,676.88849,1138.2858
909,42,7,0.60702902,0.28248587,64.110428,583.16815,Subsistence,No,Rice,Yes,215.93314,0,23,CropMultipleTimes,15.142417,23.570866,0,1138.2858
910,40,3,0.80937201,58.131489,39.644283,357.06696,Subsistence,No,VegitAndRice,Yes,731.02944,20.479792,23,None,30.372133,23.381191,0,1138.2858
911,34,4,1.214058,0.36101082,86.666664,228.16043,Subsistence,No,Rice,Yes,247.87891,0,23,ApplyFertilizer,31.711229,23.475788,0,1138.2858
912,44,6,8.0937204,1.369863,57.912457,36.077351,Subsistence,No,Rice,Yes,648.98644,22.463392,23,ApplyImprovedSeed,25.801111,23.381191,0,1138.2858
913,43,6,0.60702902,17.006804,46.067413,242.16306,Subsistence,Yes,Rice,Yes,323.55597,0,23,ApplyImprovedSeed,27.403379,23.487856,0,1138.2858
914,46,3,1.416401,0.19569471,44.216484,360.77353,Subsistence,No,Rice,Yes,1012.8333,0,23,UseIrrigation,30.361359,23.481607,0,1860
915,68,4,1.416401,6.9868994,45.085663,323.35474,Subsistence,No,Rice,Yes,269.875,0,23,UseIrrigation,17.147486,23.30098,0,1860
916,50,5,0.60702902,0,44,1138.0565,Subsistence,No,Rice,No,305.9,0,23,UseIrrigation,17.229992,23.494534,0,1860
917,65,3,3.035145,2.8248587,89.400925,174.95045,Diversifier,No,RiceAndMaize,Yes,1399.3095,0,23,UseIrrigation,27.403379,23.588245,611.11108,1138.2858
918,79,5,3.035145,0.44444445,50,74.131546,Subsistence,No,Rice,Yes,336.6,0,23,UseIrrigation,17.766525,23.394173,676.88849,1138.2858
919,42,3,0.9105435,70.329674,26.041668,99.940308,Subsistence,No,Rice,Yes,149.53333,0,23,UseIrrigation,17.229992,23.494534,0,1138.2858
920,52,7,0.80937201,82.885902,52.573185,368.18668,Subsistence,No,Rice,Yes,117.66812,12.380516,83,ApplyFertilizer,25.033855,4.3918834,0,1312.6154
922,35,3,1.0117151,1.5831134,35.474007,374.61142,Subsistence,No,Rice,Yes,1851.3923,86.085533,83,None,16.240372,5.25137,0,1312.6154
923,40,8,1.5175725,16.666666,42.14418,138.37889,Subsistence,Yes,RiceAndMaize,Yes,238.06455,0,83,ApplyFertilizer,15.547224,5.7613769,805.68878,1312.6154
924,45,8,1.618744,64.596275,69.78022,99.459824,Diversifier,No,RiceAndMaize,Yes,454.44694,76.046623,83,None,17.493134,3.7384036,805.68878,1312.6154
925,72,2,1.416401,76.264595,0,2177.3494,Diversifier,No,RiceAndMaize,Yes,589.07069,16.781557,83,None,16.705652,4.0163684,805.68878,1312.6154
926,66,4,0.50585753,41.558441,42.363113,304.43353,Subsistence,No,Rice,Yes,14.209362,0,83,None,17.045866,4.4194479,0,1312.6154
927,35,2,0.80937201,21.221865,62.5,384.24854,Subsistence,Yes,RiceAndMaize,Yes,300.84059,0,83,ApplyFertilizer,16.300188,3.8700824,805.68878,1312.6154
928,26,3,1.062,0.55248618,52.680721,681.73254,Diversifier,No,RiceMaizeAndVegit,Yes,202.29948,0,83,UseIrrigationAndFertilizerApplication,16.24103,5.7481875,805.68878,1312.6154
929,39,4,0.9105435,21.538462,46.875,214.15781,Diversifier,Yes,RiceAndMaize,Yes,182.58122,0,83,None,25.241495,4.7451982,805.68878,1312.6154
930,54,2,1.0117151,0.57388806,61.842918,688.92914,Diversifier,No,RiceAndMaize,Yes,217.90225,0,83,None,24.953814,6.0801482,805.68878,1312.6154
931,38,1,0.48562321,3.6697247,60,224.45386,Subsistence,No,RiceAndMaize,Yes,556.37575,29.469227,83,ApplyFertilizer,17.626665,5.7911606,676.88849,1312.6154
932,32,5,0.60702902,0.25974026,66.666672,634.23657,Subsistence,Yes,Rice,Yes,111.5877,55.941887,83,None,25.176956,4.6154642,0,1312.6154
933,36,5,1.618744,0.16051364,62.355778,384.8663,Subsistence,Yes,Rice,Yes,505.81484,33.516129,83,None,26.400732,3.979665,805.68878,1312.6154
934,49,5,0.80937201,0.12903225,73.719254,957.53247,Subsistence,Yes,Rice,Yes,159.71305,0,83,ApplyFertilizer,16.933517,3.5324085,0,1312.6154
935,46,8,5.2609181,21.919851,51.42857,127.473,Diversifier,No,RiceAndMaize,Yes,812.60713,34.254246,23,ApplyFertilizer,16.188538,19.013287,611.11108,1138.2858
936,50,6,1.0117151,7.0588236,43.47826,168.03151,Subsistence,No,Rice,Yes,167.86394,21.256769,23,None,24.022306,19.215271,0,1138.2858
937,56,6,0.60702902,25,66.666664,197.68413,Subsistence,No,Rice,Yes,26.185717,0,23,None,18.110115,19.419584,0,1138.2858
938,36,7,3.035145,76.749435,41.322315,145.95679,Subsistence,Yes,Rice,Yes,203.46939,0,23,None,26.439198,17.426989,0,1138.2858
939,28,3,0.50585753,39.200001,30.76923,247.10515,Subsistence,Yes,Rice,Yes,110.30477,0,23,ApplyFertilizer,18.654842,18.720961,0,1138.2858
940,53,4,1.1128865,25.210085,11.58674,106.92914,Subsistence,Yes,Rice,Yes,197.54519,0,23,None,16.64633,19.416456,611.11108,1138.2858
941,40,5,1.821087,100,50,428.31561,Subsistence,No,Rice,Yes,1304.8858,77.846977,23,None,18.255932,17.808403,0,1138.2858
942,45,5,2.4787018,65.365028,51.851852,712.87317,Subsistence,Yes,VegitAndRice,Yes,268.28572,9.5811663,23,UseIrrigationAndFertilizerApplication,16.129574,18.912691,0,1138.2858
943,26,3,5.0585752,100,77.888443,50.014084,Subsistence,No,VegitAndRice,Yes,569.36194,0,23,UseIrrigationAndFertilizerApplication,17.156662,18.610903,0,1138.2858
944,88,1,0.404686,1.9607843,33.333332,504.09451,Subsistence,No,Rice,Yes,181.1143,0,23,None,18.110004,19.924753,0,1138.2858
945,29,2,0.80937201,0.57306588,66.666664,862.39703,Subsistence,Yes,Rice,Yes,187.6143,0,23,None,25.118311,19.517048,0,1138.2858
946,30,4,0.70820051,73.333336,100,338.88708,Diversifier,No,Vegitables,Yes,141.5,0,23,UseIrrigationAndFertilizerApplication,16.594004,19.81806,0,0
