ageOfTheHouseholdHead	householdSize	farmSize	shareOfHiredLabour	commercializationIndex	totalLabourManDays	farmType	creditaccess	cropChoice	perCapitaIncome	percentNonfarmIncome	topgraphicWetnessIndex	distanceToBigMarket	None	CropMultipleTimes	ApplyFertilizer	ApplyImprovedSeed	UseIrrigationAndFertilizerApplication	UseIrrigation	Other
71	1	6.62	93	59.38	215.08	 Diversifier	 Yes	 RiceMaizeAndVegit	614367	20.16	28.14	60.34	0.16561	0.27293	0.32479	0.16277	0.03598	0.00816	0.02976
86	8	5.14	86	83.98	211.23	 Subsistence	 Yes	 RiceAndMaize	3002106	55.77	18.33	21.34	0.33182	0.14180	0.27034	0.04688	0.12019	0.02239	0.06658
70	5	16.36	52	88.28	480.57	 Subsistence	 Yes	 RiceAndMaize	503596	37.29	27.13	60.09	0.02199	0.15634	0.13996	0.57550	0.03092	0.00710	0.06818
64	8	12.55	93	60.16	288.18	 Subsistence	 Yes	 Maize	1980548	84.99	22.63	15.05	0.02033	0.05743	0.28489	0.08706	0.27707	0.04301	0.23021
70	6	3.85	21	10.16	634.47	 Diversifier	 Yes	 RiceMaizeAndVegit	2411325	42.33	20.48	55.49	0.32292	0.25663	0.19494	0.15818	0.04364	0.00523	0.01846
58	8	3.79	39	46.88	722.97	 Subsistence	 Yes	 RiceAndMaize	1094376	8.06	27.53	25.22	0.12009	0.58763	0.10117	0.14051	0.02152	0.00238	0.02669
75	3	9.2	50	18.75	961.52	 Subsistence	 Yes	 RiceAndMaize	2842103	65.17	19.27	53.31	0.05992	0.41339	0.22156	0.16596	0.01421	0.00468	0.12027
75	9	12.42	33	25.39	734.51	 Subsistence	 Yes	 VegitAndRice	2202090	16.8	31.36	9.96	0.08275	0.29899	0.08534	0.09721	0.31719	0.02000	0.09851
67	6	4.04	80	20.7	930.74	 Subsistence	 Yes	 RiceMaizeAndVegit	1229764	83.65	17.99	56.22	0.24632	0.07044	0.19025	0.45026	0.02396	0.00255	0.01622
56	8	6.95	80	9.38	865.33	 Subsistence	 Yes	 RiceAndMaize	3199033	22.17	30.96	4.15	0.06332	0.25091	0.13111	0.38778	0.04480	0.01829	0.10378
63	3	8.81	53	48.05	522.89	 Subsistence	 Yes	 RiceAndMaize	1242072	67.19	16.31	52.34	0.14553	0.23352	0.36445	0.15252	0.00487	0.00677	0.09234
74	7	11.52	72	25.78	926.89	 Subsistence	 Yes	 VegitAndRice	2349786	44.34	23.03	17.47	0.07081	0.10222	0.08815	0.03031	0.50363	0.02681	0.17808
72	6	3.92	10	78.52	619.08	 Diversifier	 Yes	 Maize	2029779	32.59	17.39	44.84	0.11441	0.11611	0.60692	0.12349	0.01178	0.00716	0.02012
57	8	2.05	47	60.94	957.68	 Diversifier	 Yes	 RiceAndMaize	725138	67.52	27.33	32.97	0.33879	0.35269	0.10792	0.11178	0.06696	0.00744	0.01442
82	3	9.07	19	50.39	565.21	 Diversifier	 Yes	 RiceAndMaize	2805179	28.22	22.23	45.08	0.15433	0.64986	0.06870	0.06988	0.01015	0.00679	0.04028
75	10	12.75	25	66.8	638.32	 Diversifier	 Yes	 VegitAndRice	1032837	40.98	24.44	27.88	0.10113	0.12138	0.35845	0.20578	0.02824	0.01261	0.17241
72	3	2.18	79	79.69	599.84	 Subsistence	 Yes	 VegitAndRice	491288	21.5	18.4	48.71	0.23722	0.25088	0.28101	0.20923	0.01312	0.00185	0.00668
76	8	8.23	91	80.08	842.25	 Diversifier	 Yes	 Rice	2915951	72.56	24.31	13.59	0.00819	0.08891	0.28846	0.02930	0.32166	0.01373	0.24975
58	2	13.91	52	52.73	884.57	 Diversifier	 Yes	 RiceAndMaize	1475922	26.88	21.49	37.57	0.15433	0.64986	0.06870	0.06988	0.01015	0.00679	0.04028
82	6	12.81	74	72.27	607.54	 Diversifier	 Yes	 RiceMaizeAndVegit	2079011	49.72	29.28	23.52	0.04140	0.02704	0.49422	0.04575	0.30767	0.06495	0.01896
59	4	3.21	46	35.94	15	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	2312862	73.91	31.23	26.91	0.71731	0.09015	0.05694	0.09775	0.01651	0.00314	0.01820
67	6	4.63	32	14.84	41.93	 Diversifier	 Yes	 Rice	1734389	33.26	15.1	52.83	0.24655	0.08052	0.35076	0.24053	0.01961	0.00620	0.05583
72	3	11.59	39	12.89	72.71	 AgroPastoralist	 Yes	 VegitAndRice	2571328	67.86	28.68	12.38	0.63161	0.08901	0.09485	0.10911	0.02015	0.03441	0.02086
78	9	9.39	30	22.27	134.28	 Diversifier	 Yes	 VegitAndRice	1685157	12.77	15.37	49.68	0.15393	0.10591	0.33113	0.29738	0.02564	0.00671	0.07930
69	5	8.17	84	1.56	257.4	 AgroPastoralist	 Yes	 VegitAndRice	1266687	81.97	26.39	4.39	0.52210	0.12689	0.07847	0.07088	0.11966	0.05722	0.02478
63	8	5.72	75	13.28	276.64	 AgroPastoralist	 Yes	 VegitAndRice	3014414	2.69	17.12	48.47	0.24058	0.21150	0.17635	0.23756	0.04097	0.00858	0.08446
68	6	10.49	67	21.88	245.86	 Diversifier	 Yes	 RiceAndMaize	1869776	74.91	26.33	13.84	0.46581	0.09053	0.09584	0.07993	0.15676	0.08087	0.03026
58	8	11.97	54	18.36	311.27	 Diversifier	 Yes	 VegitAndRice	2608252	21.16	16.85	32.24	0.36222	0.10384	0.25974	0.18661	0.02011	0.00527	0.06220
76	3	0.76	36	53.52	272.79	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	2940566	25.87	25.65	24.25	0.42737	0.12477	0.13066	0.25186	0.00814	0.01231	0.04489
74	9	2.69	15	68.36	442.09	 Diversifier	 Yes	 Rice	1328227	43.34	20.61	49.2	0.13226	0.49138	0.23285	0.03508	0.03529	0.00315	0.07000
80	1	13.39	13	60.55	38.09	 Diversifier	 Yes	 Rice	2682100	29.56	28.48	19.89	0.12681	0.10589	0.26577	0.19989	0.10969	0.05560	0.13636
87	10	13.97	22	69.53	242.01	 Diversifier	 Yes	 RiceMaizeAndVegit	663599	50.05	14.9	30.55	0.30996	0.05606	0.40645	0.09052	0.04424	0.01217	0.08060
74	2	6.43	98	83.59	365.14	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	565135	25.2	30.89	11.41	0.17197	0.35692	0.14323	0.20977	0.05439	0.02436	0.03937
80	9	2.95	87	75	26.54	 AgroPastoralist	 Yes	 RiceAndMaize	3162109	79.95	20.14	47.5	0.30410	0.07739	0.15602	0.04609	0.12573	0.02051	0.27016
79	5	14.87	78	67.19	249.71	 Diversifier	 Yes	 RiceAndMaize	922065	46.36	29.55	16.74	0.16094	0.03518	0.21921	0.09416	0.34935	0.11425	0.02692
65	10	13.33	82	53.91	76.56	 Diversifier	 Yes	 RiceMaizeAndVegit	2817487	63.49	16.52	30.79	0.66256	0.02408	0.24823	0.02591	0.01267	0.00348	0.02307
84	3	6.37	26	0	646.02	 Diversifier	 Yes	 Maize	2374401	79.62	16.72	18.44	0.25417	0.04284	0.46698	0.04514	0.05778	0.06490	0.06818
73	10	0.69	43	2.73	853.79	 Diversifier	 Yes	 VegitAndRice	1512846	0	26.8	41.69	0.17885	0.58364	0.05415	0.14946	0.02134	0.00977	0.00278
87	5	13.07	2	5.86	873.03	 AgroPastoralist	 Yes	 Rice	3285189	71.55	17.59	21.1	0.39540	0.05015	0.31726	0.07694	0.09512	0.02521	0.03991
65	11	15.97	23	12.11	780.68	 Diversifier	 Yes	 RiceMaizeAndVegit	909757	1.34	28.88	62.27	0.27253	0.21542	0.11444	0.21412	0.11833	0.00644	0.05872
73	1	4.82	64	24.61	984.61	 AgroPastoralist	 Yes	 VegitAndRice	651291	61.81	15.84	10.2	0.20875	0.09360	0.38230	0.18008	0.03430	0.05411	0.04686
87	9	7.65	99	26.56	869.18	 AgroPastoralist	 Yes	 RiceAndMaize	2706716	23.85	29.82	61.55	0.61684	0.07807	0.06636	0.12096	0.06175	0.00494	0.05107
60	4	16.61	76	23.44	784.53	 Diversifier	 Yes	 RiceAndMaize	946681	66.52	16.05	8.02	0.38429	0.07932	0.25005	0.06501	0.11294	0.07905	0.02934
71	7	13.2	94	30.08	819.16	 AgroPastoralist	 Yes	 Maize	3186725	23.52	25.79	35.63	0.26719	0.33544	0.14746	0.17244	0.03812	0.00389	0.03546
69	3	4.56	0	73.83	542.13	 Diversifier	 Yes	 RiceMaizeAndVegit	3457500	33.59	22.16	5.36	0.02321	0.14785	0.52173	0.17942	0.05084	0.03870	0.03824
73	8	4.88	3	56.64	688.34	 AgroPastoralist	 Yes	 RiceAndMaize	429748	57.11	24.85	39.51	0.55858	0.11218	0.10594	0.02528	0.05916	0.00841	0.13046
71	3	13.13	6	97.66	611.39	 Diversifier	 Yes	 RiceAndMaize	3112877	17.13	20.35	27.4	0.07964	0.27170	0.05515	0.52590	0.02038	0.00682	0.04042
72	8	12.04	12	76.95	699.88	 Diversifier	 Yes	 RiceMaizeAndVegit	552827	82.64	26.19	38.05	0.16210	0.18105	0.20519	0.15706	0.11935	0.01732	0.15792
80	2	0.5	75	64.45	838.4	 Diversifier	 Yes	 Maize	1291303	0.67	19.54	11.9	0.03650	0.43158	0.04512	0.42233	0.05772	0.00209	0.00465
84	10	0.95	73	98.83	753.75	 AgroPastoralist	 Yes	 Rice	2583636	56.77	29.95	39.02	0.04334	0.15223	0.38071	0.09529	0.11960	0.00282	0.20601
86	1	16.03	77	76.17	676.8	 AgroPastoralist	 Yes	 Rice	1451306	7.73	20.08	28.85	0.05950	0.19152	0.04620	0.67197	0.00600	0.00100	0.02381
88	11	15	70	93.75	545.98	 Diversifier	 Yes	 Maize	2866719	70.55	25.32	57.67	0.26471	0.15006	0.23456	0.11221	0.05684	0.01238	0.16923
83	5	5.4	24	47.66	303.57	 Subsistence	 No	 RiceMaizeAndVegit	2903643	74.24	25.99	51.86	0.82255	0.10869	0.00715	0.03683	0.01493	0.00437	0.00549
65	10	3.72	18	7.81	430.55	 Subsistence	 No	 RiceAndMaize	1155916	36.62	20.68	6.81	0.40728	0.40664	0.02176	0.06889	0.04580	0.02897	0.02067
76	4	11.01	17	14.06	438.24	 Subsistence	 No	 RiceAndMaize	3408268	51.73	31.5	57.91	0.09592	0.34091	0.02119	0.47059	0.03371	0.01291	0.02478
69	9	15.58	11	35.16	45.78	 Subsistence	 No	 RiceMaizeAndVegit	934373	9.41	22.43	4.63	0.32255	0.12171	0.01363	0.45129	0.02092	0.01323	0.05666
81	3	4.5	70	44.53	180.45	 Diversifier	 No	 RiceMaizeAndVegit	885141	56.1	24.58	56.46	0.65726	0.24489	0.02530	0.04481	0.00568	0.01373	0.00834
77	10	3.46	80	34.77	426.7	 Subsistence	 No	 RiceAndMaize	2485173	41.32	17.86	18.2	0.39640	0.07299	0.02905	0.41320	0.01819	0.05796	0.01221
77	3	14.16	64	0.78	318.96	 Diversifier	 No	 Rice	774370	75.25	25.18	40.23	0.12445	0.49592	0.02355	0.15133	0.03298	0.03195	0.13982
73	9	15.26	91	15.23	295.88	 Diversifier	 No	 RiceMaizeAndVegit	2546713	4.37	17.46	25.7	0.41907	0.26821	0.03889	0.17862	0.05291	0.01820	0.02410
78	1	7.85	48	75.78	299.73	 Subsistence	 No	 RiceMaizeAndVegit	3137493	14.78	26.46	34.42	0.02390	0.24248	0.00641	0.69416	0.00173	0.00753	0.02379
88	9	6.24	8	82.03	392.07	 Diversifier	 No	 VegitAndRice	1746697	61.14	21.22	1.97	0.48699	0.19475	0.05818	0.07320	0.07440	0.04531	0.06716
66	5	16.87	14	82.81	68.87	 Diversifier	 No	 RiceAndMaize	2226706	5.04	24.91	36.84	0.39234	0.09193	0.00271	0.48949	0.01240	0.00771	0.00342
60	8	14.49	35	89.45	384.38	 Diversifier	 No	 Maize	688215	69.54	15.04	26.67	0.70433	0.11324	0.04371	0.05781	0.01655	0.01914	0.04522
66	2	8.36	55	70.31	499.8	 Diversifier	 No	 Maize	1525154	15.12	30.63	33.7	0.23358	0.26051	0.01336	0.45198	0.01421	0.01259	0.01377
79	7	1.79	65	80.47	111.19	 Diversifier	 No	 VegitAndRice	1832852	60.47	23.3	17.71	0.53233	0.09772	0.02107	0.09520	0.15803	0.08678	0.00887
83	6	14.68	99	63.67	419	 Diversifier	 No	 RiceAndMaize	897449	12.43	22.29	54.77	0.21295	0.31653	0.00994	0.40208	0.03710	0.01158	0.00981
58	10	11.2	85	91.41	461.33	 Subsistence	 No	 RiceMaizeAndVegit	3506731	54.76	20.82	29.09	0.08675	0.34587	0.05298	0.27287	0.01905	0.01607	0.20641
59	5	8.62	29	29.3	530.59	 Diversifier	 No	 Maize	2386709	47.03	15.91	42.17	0.49471	0.16514	0.13812	0.09222	0.06435	0.02715	0.01832
62	6	2.11	38	42.19	923.05	 Diversifier	 No	 VegitAndRice	1488230	19.15	24.51	23.28	0.10668	0.66520	0.00422	0.20739	0.00261	0.01322	0.00068
82	6	10.23	5	42.97	861.48	 Subsistence	 No	 VegitAndRice	2559020	75.59	21.55	60.58	0.38785	0.45696	0.01851	0.04120	0.05245	0.01147	0.03156
57	10	9.52	38	3.13	653.71	 Subsistence	 No	 RiceMaizeAndVegit	811294	34.94	29.75	13.11	0.14738	0.34250	0.03030	0.15250	0.06116	0.11506	0.15111
64	2	5.27	51	16.8	561.37	 Subsistence	 No	 RiceMaizeAndVegit	762062	47.7	21.08	51.38	0.14255	0.62048	0.01805	0.17483	0.00712	0.01126	0.02571
85	7	6.82	90	41.8	657.56	 Subsistence	 No	 RiceAndMaize	2042087	15.79	23.5	2.94	0.07012	0.50935	0.02218	0.29520	0.02729	0.02320	0.05267
64	4	16.1	59	30.86	992.3	 Diversifier	 No	 VegitAndRice	2165167	59.46	15.51	44.59	0.58748	0.12971	0.06102	0.15645	0.01178	0.03198	0.02158
70	7	10.81	55	28.52	849.94	 Diversifier	 No	 Maize	2522097	22.84	31.03	20.62	0.57966	0.13940	0.01388	0.07876	0.08989	0.06100	0.03740
70	4	3.27	29	71.09	761.45	 Subsistence	 No	 RiceMaizeAndVegit	2189782	31.91	19.67	56.95	0.20799	0.47584	0.04284	0.21997	0.02276	0.01007	0.02054
68	8	7.4	42	61.72	823.01	 Subsistence	 No	 RiceAndMaize	1389767	58.45	28.95	2.7	0.03682	0.42515	0.04213	0.21504	0.14576	0.04131	0.09379
61	3	11.91	43	94.53	830.7	 Subsistence	 No	 RiceAndMaize	3519039	32.92	16.58	37.81	0.05477	0.41664	0.16256	0.27552	0.00610	0.02263	0.06178
77	7	12.29	3	62.5	896.11	 Diversifier	 No	 RiceMaizeAndVegit	1968240	72.9	29.42	15.77	0.12936	0.09966	0.09340	0.09031	0.34016	0.20518	0.04193
86	5	5.33	83	50.78	707.58	 Subsistence	 No	 VegitAndRice	1771313	8.4	17.79	36.36	0.43956	0.34348	0.04208	0.13736	0.02924	0.00550	0.00279
61	11	7.46	58	90.23	807.62	 Diversifier	 No	 RiceAndMaize	2977490	41.99	27.2	17.95	0.25677	0.05448	0.04456	0.07810	0.38946	0.15163	0.02501
61	4	9.91	69	58.98	642.17	 Subsistence	 No	 Rice	1254379	40.65	15.71	58.88	0.37192	0.29771	0.09683	0.13228	0.03915	0.04229	0.01981
69	7	16.48	71	54.69	915.35	 Subsistence	 No	 VegitAndRice	2879027	52.07	24.11	8.75	0.26582	0.23811	0.01611	0.05067	0.30313	0.04248	0.08368
84	2	4.24	0	33.98	138.13	 Diversifier	 No	 VegitAndRice	3026722	50.39	30.09	24.73	0.68399	0.10270	0.04146	0.11752	0.00126	0.04167	0.01140
82	10	7.53	11	32.42	168.91	 Diversifier	 No	 RiceAndMaize	417440	27.88	17.05	41.45	0.84850	0.08435	0.01266	0.03320	0.01198	0.00361	0.00569
61	3	15.52	19	21.09	122.73	 Diversifier	 No	 Rice	2066703	77.27	30.02	1.24	0.12555	0.40168	0.02970	0.05361	0.05450	0.19392	0.14105
74	7	15.9	46	8.2	65.02	 AgroPastoralist	 No	 Maize	1131300	16.13	14.5	32.73	0.68670	0.06367	0.01770	0.21454	0.01116	0.00242	0.00381
59	3	0.56	77	3.52	322.81	 AgroPastoralist	 No	 RiceMaizeAndVegit	1808236	71.89	30.42	23.04	0.15424	0.39217	0.03177	0.19382	0.04943	0.13457	0.04400
76	6	2.37	57	17.58	61.17	 Diversifier	 No	 Rice	2645176	2.02	19.61	47.74	0.40515	0.54451	0.00182	0.04008	0.00543	0.00030	0.00269
81	1	13.84	91	27.34	422.85	 Diversifier	 No	 VegitAndRice	675907	61.48	23.7	17.23	0.16997	0.18092	0.03413	0.24440	0.03714	0.26777	0.06567
88	10	9.46	93	34.38	330.51	 Diversifier	 No	 RiceMaizeAndVegit	3383652	26.2	19.47	42.41	0.70268	0.17888	0.00694	0.07277	0.01642	0.00563	0.01668
66	4	1.08	34	99.61	34.24	 Diversifier	 No	 RiceMaizeAndVegit	2054395	5.71	25.45	22.07	0.54526	0.24385	0.00718	0.11751	0.07630	0.00899	0.00092
71	8	3.4	32	88.67	457.48	 Diversifier	 No	 Rice	1192840	84.32	15.98	44.35	0.07687	0.31421	0.24257	0.15084	0.01722	0.04144	0.15684
77	1	12.49	21	80.86	411.31	 AgroPastoralist	 No	 RiceAndMaize	3272881	36.95	24.38	25.46	0.59993	0.11962	0.06326	0.13102	0.01703	0.03785	0.03130
86	9	11.33	8	54.3	388.22	 Diversifier	 No	 RiceMaizeAndVegit	1057453	64.16	22.03	58.4	0.68453	0.19787	0.01776	0.03659	0.01938	0.01107	0.03280
83	3	6.11	96	77.34	345.9	 Diversifier	 No	 VegitAndRice	737446	38.63	22.83	5.84	0.29632	0.28824	0.07534	0.16251	0.04405	0.08383	0.04970
75	10	5.85	82	57.42	495.96	 AgroPastoralist	 No	 RiceAndMaize	3469808	68.2	18.53	31.52	0.81356	0.08460	0.01481	0.02559	0.01212	0.00830	0.04102
67	4	13.52	73	91.02	445.94	 Diversifier	 No	 Rice	1365151	9.07	28.27	30.06	0.06465	0.40351	0.02402	0.37036	0.06708	0.01706	0.05333
66	8	15.65	66	93.36	157.36	 Diversifier	 No	 RiceMaizeAndVegit	2435941	82.3	20.28	35.88	0.40082	0.30278	0.03261	0.10750	0.05560	0.02540	0.07529
79	5	6.04	2	12.5	665.25	 Diversifier	 No	 VegitAndRice	2275938	66.18	20.95	6.57	0.85432	0.04246	0.01288	0.04190	0.01352	0.02882	0.00610
60	10	8.56	45	15.63	680.64	 AgroPastoralist	 No	 VegitAndRice	589751	6.72	24.78	34.18	0.41850	0.42473	0.00392	0.11602	0.02223	0.00517	0.00943
57	4	9.78	40	10.94	792.23	 AgroPastoralist	 No	 RiceAndMaize	2632868	75.92	14.77	22.8	0.79474	0.01544	0.03081	0.03775	0.05541	0.05810	0.00775
67	6	14.62	38	5.08	919.2	 Diversifier	 No	 RiceMaizeAndVegit	2091319	3.02	26.86	56.7	0.26799	0.25657	0.01154	0.37657	0.06606	0.01398	0.00728
64	5	0.82	66	31.25	965.37	 Diversifier	 No	 RiceMaizeAndVegit	2103627	78.95	16.99	24.01	0.81327	0.07893	0.02583	0.03489	0.04312	0.00297	0.00098
62	7	7.91	51	4.69	826.86	 Diversifier	 No	 Rice	2768255	23.18	30.56	35.39	0.23510	0.37381	0.02282	0.13615	0.12428	0.00903	0.09880
59	1	10.36	56	41.41	730.66	 AgroPastoralist	 No	 VegitAndRice	1020529	55.09	18.8	10.45	0.74370	0.11005	0.02301	0.05956	0.01009	0.03841	0.01518
87	7	10.75	86	32.03	661.41	 AgroPastoralist	 No	 VegitAndRice	2325170	35.27	24.24	62.52	0.70713	0.19063	0.01251	0.04848	0.01330	0.00990	0.01805
68	5	5.66	13	98.05	996.15	 AgroPastoralist	 No	 Maize	3125185	31.58	17.19	16.98	0.04980	0.13746	0.24154	0.11456	0.27156	0.17083	0.01424
62	8	1.27	16	55.08	888.42	 AgroPastoralist	 No	 VegitAndRice	835910	74.58	31.63	49.44	0.20462	0.62245	0.02527	0.03401	0.02867	0.04445	0.04052
85	4	10.17	11	59.77	811.46	 AgroPastoralist	 No	 VegitAndRice	3543655	27.21	22.76	9.48	0.43376	0.25849	0.01765	0.23378	0.02469	0.02467	0.00696
68	11	11.71	5	62.11	549.82	 AgroPastoralist	 No	 VegitAndRice	749754	45.69	28.54	54.28	0.28233	0.28996	0.05708	0.27650	0.03035	0.02259	0.04119
85	2	2.56	69	66.41	776.84	 Diversifier	 No	 Maize	540519	39.3	22.36	13.35	0.09246	0.69514	0.01346	0.13914	0.04358	0.01123	0.00499
81	10	3.08	95	51.17	580.61	 AgroPastoralist	 No	 Rice	2448249	57.45	27	43.63	0.46130	0.33108	0.01497	0.10524	0.01835	0.00683	0.06223
78	2	15.2	59	56.25	911.5	 Diversifier	 No	 RiceAndMaize	1697465	9.74	14.63	8.27	0.35995	0.35398	0.02817	0.12822	0.02268	0.08859	0.01841
80	9	16.16	68	85.55	934.59	 AgroPastoralist	 No	 Maize	2399017	48.04	28	45.32	0.36624	0.18950	0.05924	0.28693	0.04845	0.01758	0.03206
