ageOfTheHouseholdHead	householdSize	farmSize	shareOfHiredLabour	commercializationIndex	totalLabourManDays	farmType	creditaccess	cropChoice	perCapitaIncome	percentNonfarmIncome	topgraphicWetnessIndex	distanceToBigMarket	None	CropMultipleTimes	ApplyFertilizer	ApplyImprovedSeed	UseIrrigationAndFertilizerApplication	UseIrrigation	Other
45	6	12.88	68	85.16	973.07	 Diversifier	 No	 Maize	2251322	52.74	31.1	11.17	0.44420	0.03424	0.32560	0.01365	0.09417	0.07273	0.01541
40	9	5.91	61	87.11	942.29	 Subsistence	 No	 VegitAndRice	1414383	18.14	17.52	51.62	0.51183	0.02665	0.06776	0.25704	0.12266	0.00376	0.01030
35	4	8.11	70	77.73	880.72	 Diversifier	 No	 VegitAndRice	2300554	73.23	30.83	14.32	0.18468	0.02541	0.37906	0.08414	0.19003	0.11348	0.02321
44	7	9.33	16	98.44	757.6	 Subsistence	 No	 VegitAndRice	2719024	4.03	19.81	59.61	0.15482	0.19246	0.05831	0.26087	0.25568	0.00575	0.07212
49	4	11.78	25	86.72	738.36	 Subsistence	 No	 VegitAndRice	971297	83.31	29.08	15.53	0.01875	0.07023	0.08090	0.11549	0.63888	0.05798	0.01778
44	6	7.01	33	78.13	769.14	 Diversifier	 No	 RiceMaizeAndVegit	2115935	11.09	19.88	50.16	0.22698	0.04622	0.13663	0.30858	0.26323	0.00873	0.00963
54	4	5.53	46	81.64	703.73	 Diversifier	 No	 VegitAndRice	1377459	64.84	29.35	31.76	0.15388	0.20596	0.39270	0.18193	0.03047	0.01695	0.01810
36	9	16.74	64	46.48	742.21	 Subsistence	 No	 RiceAndMaize	1045145	60.13	20.55	39.75	0.23737	0.21743	0.17092	0.19997	0.05139	0.00693	0.11597
38	3	14.81	85	31.64	572.91	 Diversifier	 No	 Maize	2657484	42.66	25.59	14.8	0.19789	0.03734	0.06666	0.30149	0.17874	0.19060	0.02728
33	11	4.11	87	39.45	976.91	 Diversifier	 No	 Maize	1303611	56.44	17.73	44.11	0.69654	0.04023	0.13111	0.10744	0.00557	0.00152	0.01760
25	2	3.53	78	30.47	772.99	 Diversifier	 No	 RiceAndMaize	3322112	35.95	31.3	33.45	0.49087	0.10124	0.04537	0.34350	0.00887	0.00171	0.00845
38	10	11.07	2	16.41	649.86	 Subsistence	 No	 RiceAndMaize	3420576	60.8	15.31	52.59	0.28753	0.05277	0.30209	0.15681	0.06995	0.01342	0.11743
32	3	14.55	13	25	988.46	 Subsistence	 No	 RiceMaizeAndVegit	823602	6.05	26.06	16.5	0.02223	0.17353	0.09880	0.51258	0.05069	0.03689	0.10529
34	7	2.63	22	32.81	765.29	 Diversifier	 No	 RiceMaizeAndVegit	3063646	39.64	16.65	47.26	0.65112	0.18709	0.08149	0.02609	0.04919	0.00123	0.00380
47	2	4.17	18	46.09	938.44	 Diversifier	 No	 RiceAndMaize	1168224	22.51	29.68	33.21	0.11387	0.61298	0.09775	0.15955	0.00244	0.00746	0.00595
28	9	11.13	74	100	368.98	 Diversifier	 No	 Rice	1611310	6.38	29.48	45.56	0.21276	0.15769	0.12278	0.23169	0.06473	0.00234	0.20801
39	2	16.81	57	97.27	161.21	 Diversifier	 No	 VegitAndRice	2472865	86	19.4	22.31	0.17875	0.10617	0.31555	0.08286	0.03925	0.19415	0.08326
25	7	4.43	98	94.14	141.97	 Subsistence	 No	 Maize	700522	14.45	28.61	42.9	0.50255	0.14013	0.08459	0.16624	0.07438	0.00152	0.03059
47	1	1.53	77	87.89	234.32	 Diversifier	 No	 RiceAndMaize	3075954	84.66	17.32	1.73	0.69790	0.07065	0.14880	0.03668	0.02847	0.01557	0.00192
39	11	12.68	36	75.39	30.39	 Subsistence	 No	 VegitAndRice	3334420	24.19	30.36	53.8	0.54210	0.07209	0.03479	0.17691	0.13449	0.00432	0.03529
26	3	9.85	1	73.44	145.82	 Subsistence	 No	 RiceMaizeAndVegit	1278995	62.15	16.38	2.45	0.03820	0.06859	0.60966	0.09417	0.03553	0.02422	0.12963
52	8	0.89	24	76.56	230.47	 Diversifier	 No	 RiceMaizeAndVegit	3039030	19.48	30.15	55.98	0.39184	0.18388	0.04152	0.27429	0.10172	0.00385	0.00288
41	5	4.3	6	69.92	195.84	 Subsistence	 No	 Rice	798986	62.48	20.41	28.37	0.93821	0.00426	0.00735	0.01887	0.02731	0.00308	0.00092
43	9	12.94	100	26.17	472.87	 Diversifier	 No	 RiceAndMaize	528211	52.41	24.04	58.64	0.71617	0.03115	0.01634	0.04652	0.13731	0.01495	0.03758
39	4	12.62	97	43.36	326.66	 Subsistence	 No	 RiceMaizeAndVegit	3555963	28.89	21.35	24.49	0.08531	0.13369	0.13174	0.56423	0.04462	0.00699	0.03342
41	9	4.37	94	2.34	403.61	 Diversifier	 No	 RiceMaizeAndVegit	872834	68.87	25.85	36.6	0.68679	0.02264	0.05753	0.15955	0.03953	0.01320	0.02075
40	4	5.46	88	23.05	315.12	 Diversifier	 No	 RiceAndMaize	3432884	3.36	20.01	25.95	0.74831	0.02038	0.01337	0.19765	0.01368	0.00420	0.00241
