,IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,RicePrice,fold
56,813,44,6,1.416401,19.81982,58.333332,235.10291,Subsistence,No,Rice,Yes,314144.09,0,121,ApplyImprovedSeed,16.53504,39.586689,0,1232.2581,4
57,814,38,4,1.416401,57.943924,25,302.17432,Subsistence,No,Rice,Yes,221008.06,0,121,None,27.986359,40.997601,0,1232.2581,3
58,815,51,6,0.80937201,0.10405827,76.582275,1187.3403,Subsistence,No,VegitAndRice,Yes,130559.13,0,121,UseIrrigationAndFertilizerApplication,23.567518,40.460033,0,1232.2581,10
59,816,39,6,1.416401,28.813559,60,249.92921,Subsistence,Yes,Rice,Yes,490698.94,72.19796,121,None,28.849028,40.941902,0,1232.2581,1
60,817,37,4,1.3152295,58.823528,80,413.61603,Subsistence,Yes,Rice,Yes,236322.59,0,121,None,28.277048,42.021194,0,1232.2581,4
61,818,25,2,0.80937201,8.1300812,3.9370079,455.90903,Diversifier,Yes,RiceAndMaize,Yes,334241.25,6.3412948,121,CropMultipleTimes,28.908257,42.26936,660,1232.2581,8
62,819,57,6,3.439831,10.693302,13.379047,494.79175,Subsistence,Yes,RiceAndMaize,Yes,922661.81,0,121,CropMultipleTimes,28.908257,42.26936,660,1232.2581,4
63,820,47,5,1.821087,55.353077,57.142857,401.77466,Subsistence,No,Rice,Yes,385735.5,5.8229632,121,None,16.587296,40.737221,0,1232.2581,4
64,821,36,6,1.618744,36.363636,41.176472,156.29402,Subsistence,Yes,RiceAndMaize,Yes,306769.25,34.384712,121,CropMultipleTimes,25.30212,41.442589,660,1232.2581,1
65,822,42,6,1.5175725,69.565216,76,106.09048,Subsistence,Yes,Rice,Yes,292534.09,0,121,None,19.130743,41.980595,0,1232.2581,6
66,823,78,4,1.416401,88.442207,54.744526,140.49693,Subsistence,No,RiceAndMaize,Yes,473196.44,79.128334,131,None,16.934175,63.374664,888.88892,1138.0952,10
67,824,65,5,0.80937201,19.23077,58.823528,449.73138,Diversifier,No,RiceAndMaize,Yes,300100,0,131,CropMultipleTimes,17.104828,63.122982,888.88892,1138.0952,6
68,825,62,7,4.4515462,10.778444,52.766392,62.525085,Diversifier,Yes,RiceAndMaize,Yes,195673.47,0,131,None,16.847164,63.502766,888.88892,1138.0952,2
69,826,28,4,2.3269446,81.25,75.471695,371.30234,Subsistence,No,RiceAndMaize,Yes,795311.5,18.326572,131,ApplyImprovedSeed,25.995266,63.910694,888.88892,1138.0952,7
70,827,31,2,0.9105435,0.95238096,48.317307,345.94724,Diversifier,No,RiceAndMaize,Yes,887328.56,16.316256,131,ApplyImprovedSeed,19.073584,60.424824,888.88892,1138.0952,4
71,828,74,2,2.1246016,60.493828,64.451828,152.49918,Diversifier,No,RiceMaizeAndVegit,Yes,492778.56,0,131,ApplyImprovedSeed,17.210167,62.3521,888.88892,1138.0952,8
72,829,60,5,2.4281161,92.059837,29.873417,715.78125,Subsistence,No,VegitAndRice,Yes,176071.42,0,131,UseIrrigationAndFertilizerApplication,16.751854,63.664227,0,1138.0952,9
73,830,37,6,1.9222585,92.307693,30,108.20605,Subsistence,Yes,Rice,Yes,144095.23,18.983049,131,None,18.112173,63.413219,0,1138.0952,8
